id_estacao,latitude,longitude,local_estacao
1210806,39.73333333,-7.86666667,"Proença-a-Nova, P.Moitas"
1210812,39.46666667,-8.05,Alvega
1210824,39.1,-7.86666667,"Avis, Benavila"
1210826,38.94068,-8.16406,Mora
1210835,38.8908,-7.13976111,Elvas
1210837,38.86666667,-7.51666667,Estremoz
1210840,38.484866,-7.4729166,"Reguengos, S. P. do Corval"
1210847,38.3319194,-8.04553888,Viana do Alentejo
1210848,38.31666667,-7.86666667,"Portel, Oriola"
1210851,38.2007,-7.2261,Amareleja
1210863,37.75,-7.55,"Mértola, Vale Formoso"
1210864,37.57655833,-7.97211389,"Castro Verde, N.Corvo"
1210865,37.43333333,-7.76666667,"Alcoutim, Mart.Longo"
1210866,37.1871055,-7.416325,Vila Real de S.António
1210867,37.21666667,-7.45,Castro Marim (RN Sapal)
1210874,37.0935,-8.262,Albufeira
1210878,37.149167,-8.581389,Portimão (Aeródromo)
1210881,37.033,-7.821,"Olhão, EPPO"
1210883,37.12166968,-7.62050375,Tavira
1210907,39.45328,-31.2647,Faja / Ilha das Flores
1210932,37.83256,-25.150108,"S. Miguel, Nordeste"
1210956,32.867477,-17.171373,"Madeira, Porto Moniz"
1210960,32.83446944,-16.906219,"Madeira, S. Jorge, Santana"
1210965,32.808238,-16.8864166,"Madeira, Santana"
1210967,32.8001833,-17.044722,"Madeira, São Vicente"
1210970,32.75646944,-17.0576888,"Madeira, Bica da Cana"
1210972,32.693491,-16.903955,"Madeira, Pico Alto"
1210973,32.71666667,-16.91666667,"Madeira, Areeiro"
1210974,32.735107,-16.928271,"Madeira, Pico do Areeiro"
1210975,32.7258972,-16.816822,"Madeira, Santo da Serra"
1210976,32.675833,-16.906944,"Madeira, Monte"
1210977,32.64500556,-16.86575,"Madeira, Cancela"
1210978,32.747,-16.706,"Madeira, S. Lourenço"
1210980,32.831,-17.202,"Madeira, Lombo da Terça"
1210984,32.6629722,-17.01503611,"Madeira, Quinta Grande"
1210986,32.681502,-17.104167,"Madeira, Ponta do Sol"
1210987,32.757205,-17.201551,Prazeres (Calheta)
1210990,32.81384167,-17.26321389,"Madeira, Calheta"
1240546,41.1385194,-8.6025,"Porto, Serra do Pilar"
1240566,41.30898056,-7.740522,Vila Real (Cidade)
1240610,41.695,-8.82916,Viana do Castelo
1240675,40.662738,-7.9039694,Viseu (Cidade)
1240820,39.2675444,-7.42088333,Portalegre (cidade)
1240903,41.15257,-8.62598,"Porto, Massarelos"
1240916,39.744764,-8.810466,Leiria
1240929,38.54846667,-8.89066111,"Setúbal, Areias"
