month,year,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
01,2019,698,504,Fundão,7.0,0.3,10.1,2.56
01,2019,698,504,Fundão,8.0,0.4,12.1,3.56
01,2019,803,505,Idanha-a-Nova,1.0,0.0,6.6,1.07
01,2019,803,505,Idanha-a-Nova,2.0,0.2,6.5,1.75
01,2019,803,505,Idanha-a-Nova,3.0,0.4,4.2,1.91
01,2019,803,505,Idanha-a-Nova,4.0,0.7,3.0,1.72
01,2019,803,505,Idanha-a-Nova,5.0,0.8,1.7,1.31
01,2019,803,505,Idanha-a-Nova,6.0,0.7,8.5,4.86
01,2019,803,505,Idanha-a-Nova,7.0,0.4,8.6,3.05
01,2019,803,505,Idanha-a-Nova,8.0,0.1,7.5,2.15
01,2019,806,508,Proença-a-Nova,1.0,0.0,6.0,1.64
01,2019,806,508,Proença-a-Nova,2.0,0.2,3.9,1.31
01,2019,806,508,Proença-a-Nova,3.0,0.3,6.5,2.37
01,2019,806,508,Proença-a-Nova,4.0,0.7,1.7,1.12
01,2019,806,508,Proença-a-Nova,5.0,0.6,2.0,1.29
01,2019,806,508,Proença-a-Nova,6.0,0.4,7.3,2.28
01,2019,806,508,Proença-a-Nova,7.0,0.4,7.3,3.44
01,2019,806,508,Proença-a-Nova,8.0,0.1,7.5,2.98
01,2019,548,603,Coimbra,1.0,0.1,4.7,2.0
01,2019,548,603,Coimbra,2.0,0.5,5.8,2.62
01,2019,548,603,Coimbra,3.0,0.4,6.1,2.32
01,2019,548,603,Coimbra,4.0,0.7,2.5,1.45
01,2019,548,603,Coimbra,5.0,0.6,5.1,1.9
01,2019,548,603,Coimbra,6.0,0.4,5.6,2.66
01,2019,548,603,Coimbra,7.0,0.5,6.4,3.37
01,2019,548,603,Coimbra,8.0,0.3,7.0,3.04
01,2019,713,605,Figueira da Foz,1.0,0.1,5.3,2.68
01,2019,713,605,Figueira da Foz,2.0,0.3,4.7,1.71
01,2019,713,605,Figueira da Foz,3.0,0.4,5.0,1.8
01,2019,713,605,Figueira da Foz,4.0,0.3,2.5,1.58
01,2019,713,605,Figueira da Foz,5.0,1.1,4.9,2.6
01,2019,713,605,Figueira da Foz,6.0,0.7,8.7,5.12
01,2019,713,605,Figueira da Foz,7.0,0.5,7.9,4.24
01,2019,713,605,Figueira da Foz,8.0,0.3,5.5,3.17
01,2019,697,607,Lousã,1.0,0.4,4.4,1.39
01,2019,697,607,Lousã,2.0,0.5,4.6,2.1
01,2019,697,607,Lousã,3.0,0.4,2.4,1.3
01,2019,697,607,Lousã,4.0,0.6,1.7,1.03
01,2019,697,607,Lousã,5.0,0.4,2.1,1.21
01,2019,697,607,Lousã,6.0,0.4,6.1,2.65
01,2019,697,607,Lousã,7.0,0.3,4.8,1.78
01,2019,697,607,Lousã,8.0,0.5,6.3,1.79
01,2019,686,612,Pampilhosa da Serra,1.0,0.6,9.1,3.61
01,2019,686,612,Pampilhosa da Serra,2.0,0.5,9.4,3.57
01,2019,686,612,Pampilhosa da Serra,3.0,0.6,9.4,3.46
01,2019,686,612,Pampilhosa da Serra,4.0,0.6,5.6,2.2
01,2019,686,612,Pampilhosa da Serra,5.0,0.7,4.5,2.44
01,2019,686,612,Pampilhosa da Serra,6.0,0.5,9.3,2.96
01,2019,686,612,Pampilhosa da Serra,7.0,0.5,11.3,4.58
01,2019,686,612,Pampilhosa da Serra,8.0,0.6,15.2,5.94
01,2019,837,704,Estremoz,1.0,0.0,1.5,0.36
01,2019,837,704,Estremoz,2.0,0.1,3.9,1.23
01,2019,837,704,Estremoz,3.0,0.2,4.1,1.43
01,2019,837,704,Estremoz,4.0,0.3,1.9,0.91
01,2019,837,704,Estremoz,5.0,0.3,1.8,0.88
01,2019,837,704,Estremoz,6.0,0.2,5.5,1.83
01,2019,837,704,Estremoz,7.0,0.2,6.1,2.79
01,2019,837,704,Estremoz,8.0,0.1,6.7,3.1
01,2019,558,705,Évora,1.0,0.1,5.8,1.88
