month,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
01,1210633,405,Macedo de Cavaleiros,3.0,0.0,8.1,2.12
01,1210633,405,Macedo de Cavaleiros,4.0,0.0,2.7,0.95
01,1210633,405,Macedo de Cavaleiros,5.0,0.0,6.1,1.41
01,1210633,405,Macedo de Cavaleiros,6.0,0.0,7.8,2.52
01,1210633,405,Macedo de Cavaleiros,7.0,0.0,11.7,3.72
01,633,405,Macedo de Cavaleiros,8.0,0.0,7.6,2.63
01,635,406,Miranda do Douro,1.0,0.0,4.1,0.73
01,1210635,406,Miranda do Douro,2.0,0.0,11.3,2.05
01,1210635,406,Miranda do Douro,3.0,0.0,9.5,1.95
01,1210635,406,Miranda do Douro,4.0,0.0,3.9,0.86
01,1210635,406,Miranda do Douro,5.0,0.0,9.1,1.97
01,1210635,406,Miranda do Douro,6.0,0.0,11.4,3.44
01,1210635,406,Miranda do Douro,7.0,0.0,13.9,4.8
01,1210635,406,Miranda do Douro,8.0,0.0,6.4,1.24
01,632,407,Mirandela,1.0,0.0,6.6,0.69
01,1210632,407,Mirandela,2.0,0.0,6.6,0.82
01,1210632,407,Mirandela,3.0,0.0,8.7,1.3
01,1210632,407,Mirandela,4.0,0.0,6.5,1.2
01,1210632,407,Mirandela,5.0,0.0,7.8,2.11
01,1210632,407,Mirandela,6.0,0.0,8.6,1.6
01,1210632,407,Mirandela,7.0,0.0,11.8,1.89
01,632,407,Mirandela,8.0,0.0,9.9,1.83
01,1210637,408,Mogadouro,1.0,0.0,5.2,0.96
01,1210637,408,Mogadouro,2.0,0.0,17.6,4.38
01,1210637,408,Mogadouro,3.0,0.0,11.9,4.42
01,1210637,408,Mogadouro,4.0,0.0,8.6,2.42
01,1210637,408,Mogadouro,5.0,0.0,16.0,7.26
01,1210637,408,Mogadouro,6.0,0.0,18.1,5.06
01,1210637,408,Mogadouro,7.0,0.0,20.2,6.18
01,1210637,408,Mogadouro,8.0,0.0,12.4,3.81
01,1210654,409,Torre de Moncorvo,1.0,0.0,3.8,0.95
01,1210654,409,Torre de Moncorvo,2.0,0.0,5.4,1.28
01,1210654,409,Torre de Moncorvo,3.0,0.0,7.9,1.88
01,1210654,409,Torre de Moncorvo,4.0,0.0,6.4,1.26
01,1210654,409,Torre de Moncorvo,5.0,0.0,10.1,2.58
01,1210654,409,Torre de Moncorvo,6.0,0.0,9.9,3.16
01,1210654,409,Torre de Moncorvo,7.0,0.0,12.6,2.94
01,1210654,409,Torre de Moncorvo,8.0,0.0,7.8,1.86
01,612,412,Vinhais,1.0,0.2,4.6,1.51
01,612,412,Vinhais,2.0,0.2,8.2,2.16
01,1210612,412,Vinhais,3.0,0.2,12.2,3.22
01,1210612,412,Vinhais,4.0,0.2,6.1,1.79
01,1210612,412,Vinhais,5.0,0.3,5.9,1.57
01,1210612,412,Vinhais,6.0,0.3,5.1,1.58
01,1210612,412,Vinhais,7.0,0.2,13.6,3.31
01,1210612,412,Vinhais,8.0,0.2,11.9,2.66
01,1200570,502,Castelo Branco,1.0,0.0,8.9,3.33
01,1200570,502,Castelo Branco,2.0,0.2,9.5,3.0
01,1200570,502,Castelo Branco,3.0,0.5,6.6,2.54
01,1200570,502,Castelo Branco,4.0,0.3,6.9,1.62
01,1200570,502,Castelo Branco,5.0,0.1,6.1,2.55
01,1200570,502,Castelo Branco,6.0,0.0,7.0,3.16
01,1200570,502,Castelo Branco,7.0,0.3,10.0,3.69
01,570,502,Castelo Branco,8.0,0.2,10.9,2.75
01,1210687,503,Covilhã,1.0,0.0,11.7,2.01
01,1210687,503,Covilhã,2.0,0.0,12.0,2.96
01,1210687,503,Covilhã,3.0,0.0,7.3,1.85
01,687,503,Covilhã,4.0,0.0,6.7,1.13
01,1210687,503,Covilhã,5.0,0.0,9.5,2.22
01,1210687,503,Covilhã,6.0,0.0,9.8,2.09
01,1210687,503,Covilhã,7.0,0.0,19.9,1.94
01,1210687,503,Covilhã,8.0,0.0,12.7,1.46
01,698,504,Fundão,1.0,0.2,4.9,1.02
01,1210698,504,Fundão,2.0,0.3,8.8,2.35
01,1210698,504,Fundão,3.0,0.1,8.0,2.66
01,1210698,504,Fundão,4.0,0.2,5.4,2.15
01,1210698,504,Fundão,5.0,0.2,7.1,1.72
01,1210698,504,Fundão,6.0,0.1,6.2,1.86
01,1210698,504,Fundão,7.0,0.1,13.7,2.67
01,1210698,504,Fundão,8.0,0.2,12.8,2.72
01,1210803,505,Idanha-a-Nova,1.0,0.0,12.5,1.28
01,1210803,505,Idanha-a-Nova,2.0,0.2,14.0,3.32
01,1210803,505,Idanha-a-Nova,3.0,0.4,7.2,2.51
01,1210803,505,Idanha-a-Nova,4.0,0.6,5.4,2.37
01,1210803,505,Idanha-a-Nova,5.0,0.8,5.6,2.61
01,803,505,Idanha-a-Nova,6.0,0.6,8.5,3.97
01,803,505,Idanha-a-Nova,7.0,0.4,8.6,2.88
01,803,505,Idanha-a-Nova,8.0,0.1,7.5,2.03
01,806,508,Proença-a-Nova,1.0,0.0,6.0,1.54
01,1210806,508,Proença-a-Nova,2.0,0.0,9.3,2.53
01,1210806,508,Proença-a-Nova,3.0,0.0,6.8,2.54
01,1210806,508,Proença-a-Nova,4.0,0.2,4.7,1.18
01,1210806,508,Proença-a-Nova,5.0,0.0,5.7,1.84
01,806,508,Proença-a-Nova,6.0,0.0,7.3,2.42
01,1210806,508,Proença-a-Nova,7.0,0.0,11.9,3.8
01,1210806,508,Proença-a-Nova,8.0,0.0,10.8,3.19
01,6213611,601,Arganil,1.0,0.2,7.7,1.52
01,6213611,601,Arganil,2.0,0.2,6.0,1.17
01,6213611,601,Arganil,3.0,0.2,4.8,1.05
01,6213611,601,Arganil,4.0,0.3,9.9,1.33
01,6213611,601,Arganil,5.0,0.3,11.7,1.91
01,6213611,601,Arganil,6.0,0.2,10.8,2.41
01,6213611,601,Arganil,7.0,0.3,7.7,2.48
01,6213611,601,Arganil,8.0,0.2,3.3,1.17
01,6213612,602,Cantanhede,1.0,0.2,7.0,2.47
01,6213612,602,Cantanhede,2.0,0.2,8.2,2.27
01,6213612,602,Cantanhede,3.0,0.2,6.2,1.9
01,6213612,602,Cantanhede,4.0,0.2,4.8,1.63
01,6213612,602,Cantanhede,5.0,0.3,8.8,2.83
01,6213612,602,Cantanhede,6.0,0.3,7.9,3.32
01,6213612,602,Cantanhede,7.0,0.3,5.7,2.65
01,6213612,602,Cantanhede,8.0,0.2,8.4,2.95
01,6213613,603,Coimbra,1.0,0.0,6.0,2.08
01,1200548,603,Coimbra,2.0,0.1,11.8,2.87
01,6213613,603,Coimbra,3.0,0.0,10.0,2.34
01,6213613,603,Coimbra,4.0,0.0,6.7,1.89
01,1200548,603,Coimbra,5.0,0.0,12.6,3.31
01,6213613,603,Coimbra,6.0,0.0,8.3,2.77
01,1200548,603,Coimbra,7.0,0.0,8.8,2.87
01,1200548,603,Coimbra,8.0,0.0,7.8,2.32
01,1210713,605,Figueira da Foz,1.0,0.1,6.3,2.56
01,1210713,605,Figueira da Foz,2.0,0.1,7.5,2.18
01,1210713,605,Figueira da Foz,3.0,0.2,5.6,1.94
01,1210713,605,Figueira da Foz,4.0,0.2,9.6,2.71
01,1210713,605,Figueira da Foz,5.0,0.5,9.2,3.49
01,1210713,605,Figueira da Foz,6.0,0.3,9.3,4.75
01,1210713,605,Figueira da Foz,7.0,0.4,12.0,3.92
01,1210713,605,Figueira da Foz,8.0,0.2,8.8,3.32
01,6213614,606,Góis,1.0,0.2,3.1,1.11
01,6213614,606,Góis,2.0,0.1,6.3,1.52
01,6213614,606,Góis,3.0,0.1,2.7,0.98
01,6213614,606,Góis,4.0,0.2,2.6,1.02
01,6213614,606,Góis,5.0,0.2,6.7,2.21
01,6213614,606,Góis,6.0,0.2,8.6,3.4
01,6213614,606,Góis,7.0,0.2,3.2,1.0
01,6213614,606,Góis,8.0,0.3,1.3,0.51
01,1210697,607,Lousã,1.0,0.2,4.8,1.38
01,1210697,607,Lousã,2.0,0.3,5.0,1.95
01,1210697,607,Lousã,3.0,0.3,8.5,1.51
01,1210697,607,Lousã,4.0,0.2,7.6,1.15
01,1210697,607,Lousã,5.0,0.2,7.9,1.64
01,1210697,607,Lousã,6.0,0.3,7.5,2.43
01,1210697,607,Lousã,7.0,0.2,7.1,2.37
01,697,607,Lousã,8.0,0.3,6.3,1.39
01,1210704,608,Mira,1.0,0.1,6.1,2.26
01,1210704,608,Mira,2.0,0.0,6.1,1.19
01,1210704,608,Mira,3.0,0.0,4.0,1.27
01,1210704,608,Mira,4.0,0.1,1.9,0.58
01,1210704,608,Mira,5.0,0.1,5.0,1.36
01,1210704,608,Mira,6.0,0.0,9.2,3.17
01,1210704,608,Mira,7.0,0.0,7.7,3.15
01,1210704,608,Mira,8.0,0.1,8.3,2.9
01,6213620,611,Oliveira do Hospital,1.0,0.4,4.9,1.89
01,6213620,611,Oliveira do Hospital,2.0,0.2,11.7,3.04
01,6213620,611,Oliveira do Hospital,3.0,0.2,6.7,2.09
01,6213620,611,Oliveira do Hospital,4.0,0.3,10.4,2.99
01,6213620,611,Oliveira do Hospital,5.0,0.3,7.8,3.22
01,6213620,611,Oliveira do Hospital,6.0,0.3,11.5,3.44
01,6213620,611,Oliveira do Hospital,7.0,0.4,10.2,3.49
01,6213620,611,Oliveira do Hospital,8.0,0.4,6.6,2.73
01,1210686,612,Pampilhosa da Serra,1.0,0.4,13.2,4.73
01,1210686,612,Pampilhosa da Serra,2.0,0.2,19.6,4.75
01,1210686,612,Pampilhosa da Serra,3.0,0.4,14.2,4.62
01,1210686,612,Pampilhosa da Serra,4.0,0.4,14.2,4.8
01,1210686,612,Pampilhosa da Serra,5.0,0.7,19.6,6.58
01,1210686,612,Pampilhosa da Serra,6.0,0.5,15.4,4.05
01,1210686,612,Pampilhosa da Serra,7.0,0.4,16.7,5.2
01,686,612,Pampilhosa da Serra,8.0,0.5,15.2,5.16
01,6213617,613,Penacova,1.0,0.1,5.5,1.37
01,6213617,613,Penacova,2.0,0.2,6.9,1.89
01,6213617,613,Penacova,3.0,0.2,6.7,2.09
01,6213617,613,Penacova,4.0,0.1,4.2,0.85
01,6213617,613,Penacova,5.0,0.1,10.0,1.27
01,6213617,613,Penacova,6.0,0.2,8.7,1.99
01,6213617,613,Penacova,7.0,0.1,11.2,2.58
01,6213617,613,Penacova,8.0,0.2,7.2,2.12
01,6213618,614,Penela,1.0,0.3,4.2,1.97
01,6213618,614,Penela,2.0,0.3,7.7,3.29
01,6213618,614,Penela,3.0,0.6,5.1,1.78
01,6213618,614,Penela,4.0,0.6,4.0,2.02
01,6213618,614,Penela,5.0,0.3,13.0,4.69
01,6213618,614,Penela,6.0,0.4,10.3,3.99
01,6213618,614,Penela,7.0,0.2,10.2,4.35
01,6213618,614,Penela,8.0,0.4,7.4,3.31
01,6213621,615,Soure,1.0,1.0,13.3,6.07
01,6213621,615,Soure,2.0,0.8,10.4,6.09
01,6213621,615,Soure,3.0,1.0,11.4,6.65
01,6213621,615,Soure,4.0,1.7,11.7,6.85
01,6213621,615,Soure,5.0,1.6,17.1,7.62
01,6213621,615,Soure,6.0,1.1,12.8,4.24
01,6213621,615,Soure,7.0,0.7,14.7,8.57
01,6213621,615,Soure,8.0,1.5,14.1,7.55
01,6213619,617,Vila Nova de Poiares,1.0,0.2,6.7,1.92
01,6213619,617,Vila Nova de Poiares,2.0,0.2,7.5,2.13
01,6213619,617,Vila Nova de Poiares,3.0,0.1,4.1,0.81
01,6213619,617,Vila Nova de Poiares,4.0,0.2,4.4,0.87
01,6213619,617,Vila Nova de Poiares,5.0,0.1,7.1,1.84
01,6213619,617,Vila Nova de Poiares,6.0,0.2,8.4,2.5
01,6213619,617,Vila Nova de Poiares,7.0,0.1,7.9,1.85
01,6213619,617,Vila Nova de Poiares,8.0,0.1,5.5,1.55
01,1210837,704,Estremoz,1.0,0.0,9.5,1.89
01,1210837,704,Estremoz,2.0,0.0,10.0,2.77
01,1210837,704,Estremoz,3.0,0.0,5.0,1.86
01,1210837,704,Estremoz,4.0,0.0,3.3,0.98
01,1210837,704,Estremoz,5.0,0.0,6.9,1.95
01,1210837,704,Estremoz,6.0,0.0,7.1,2.01
01,1210837,704,Estremoz,7.0,0.0,6.8,2.7
01,837,704,Estremoz,8.0,0.0,6.7,2.44
01,1200558,705,Évora,1.0,0.1,6.7,2.53
01,1200558,705,Évora,2.0,0.2,8.4,2.1
01,1200558,705,Évora,3.0,0.4,6.1,2.39
01,1200558,705,Évora,4.0,0.4,5.1,2.1
01,1200558,705,Évora,5.0,0.3,7.8,3.7
01,1200558,705,Évora,6.0,0.3,10.3,3.94
01,1200558,705,Évora,7.0,0.2,11.2,4.48
01,558,705,Évora,8.0,0.1,11.0,4.56
01,1210826,707,Mora,1.0,0.3,6.1,2.38
01,1210826,707,Mora,2.0,0.1,6.9,1.98
01,1210826,707,Mora,3.0,0.2,4.9,1.89
01,1210826,707,Mora,4.0,0.1,2.6,0.69
01,1210826,707,Mora,5.0,0.1,5.9,2.02
01,1210826,707,Mora,6.0,0.2,7.8,3.37
01,1210826,707,Mora,7.0,0.3,6.2,1.89
01,1210826,707,Mora,8.0,0.3,10.3,1.87
01,1210848,709,Portel,1.0,0.0,10.4,2.01
01,1210848,709,Portel,2.0,0.0,11.4,2.27
01,1210848,709,Portel,3.0,0.0,5.0,1.24
01,1210848,709,Portel,4.0,0.0,6.1,1.6
01,1210848,709,Portel,5.0,0.0,8.4,3.06
01,848,709,Portel,6.0,0.0,7.2,3.0
01,1210848,709,Portel,7.0,0.0,8.0,2.74
01,1210848,709,Portel,8.0,0.0,7.9,2.76
01,1210840,711,Reguengos de Monsaraz,1.0,0.0,9.6,2.71
01,1210840,711,Reguengos de Monsaraz,2.0,0.1,6.8,2.37
01,840,711,Reguengos de Monsaraz,3.0,0.0,3.8,1.44
01,1210840,711,Reguengos de Monsaraz,4.0,0.0,7.4,2.68
01,1210840,711,Reguengos de Monsaraz,5.0,0.2,7.7,3.02
01,840,711,Reguengos de Monsaraz,6.0,0.1,8.8,3.73
01,1210840,711,Reguengos de Monsaraz,7.0,0.2,10.5,3.68
01,1210840,711,Reguengos de Monsaraz,8.0,0.0,7.9,2.73
01,1210847,713,Viana do Alentejo,1.0,0.2,11.5,3.18
01,1210847,713,Viana do Alentejo,2.0,0.3,12.6,3.04
01,1210847,713,Viana do Alentejo,3.0,0.4,6.2,2.95
01,1210847,713,Viana do Alentejo,4.0,0.3,7.5,3.0
01,1210847,713,Viana do Alentejo,5.0,0.3,9.6,3.66
01,1210847,713,Viana do Alentejo,6.0,0.3,8.1,3.76
01,1210847,713,Viana do Alentejo,7.0,0.3,9.8,4.04
01,1210847,713,Viana do Alentejo,8.0,0.5,10.6,3.6
01,1210874,801,Albufeira,1.0,0.2,11.6,4.24
01,1210874,801,Albufeira,2.0,0.5,9.1,3.08
01,1210874,801,Albufeira,3.0,0.7,7.9,3.4
01,1210874,801,Albufeira,4.0,0.6,5.1,2.15
01,1210874,801,Albufeira,5.0,0.4,6.0,2.59
