year,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
2018,554,805,Faro,2.0,1.0,9.3,3.22
2018,554,805,Faro,3.0,1.1,10.4,5.1
2018,554,805,Faro,4.0,1.1,1.1,1.1
2018,554,805,Faro,5.0,2.0,2.0,2.0
2018,554,805,Faro,6.0,2.4,4.2,3.3
2018,554,805,Faro,7.0,0.9,6.9,2.82
2018,554,805,Faro,8.0,0.5,5.3,2.59
2018,790,809,Monchique,1.0,0.9,12.8,7.16
2018,790,809,Monchique,2.0,1.2,10.4,4.13
2018,790,809,Monchique,3.0,0.4,16.1,5.81
2018,790,809,Monchique,4.0,1.7,17.9,7.44
2018,790,809,Monchique,5.0,1.4,10.6,4.87
2018,790,809,Monchique,6.0,0.9,9.6,4.75
2018,790,809,Monchique,7.0,2.8,8.0,4.73
2018,790,809,Monchique,8.0,1.4,4.9,3.03
2018,881,810,Olhão,1.0,0.0,2.6,1.02
2018,881,810,Olhão,2.0,0.0,5.8,2.07
2018,881,810,Olhão,3.0,0.0,6.4,2.34
2018,881,810,Olhão,4.0,0.6,2.3,1.28
2018,881,810,Olhão,5.0,0.1,2.0,0.66
2018,881,810,Olhão,6.0,0.1,4.0,2.08
2018,881,810,Olhão,7.0,0.0,3.6,0.95
2018,881,810,Olhão,8.0,0.0,2.9,0.6
2018,878,811,Portimão,2.0,0.3,3.9,1.84
2018,878,811,Portimão,3.0,0.3,7.4,1.35
2018,878,811,Portimão,4.0,0.2,5.2,1.25
2018,878,811,Portimão,5.0,0.3,4.0,1.39
2018,878,811,Portimão,6.0,0.3,3.5,1.84
2018,878,811,Portimão,7.0,0.7,2.5,1.41
2018,878,811,Portimão,8.0,1.5,4.8,2.88
2018,671,902,Almeida,1.0,0.0,3.8,1.64
2018,671,902,Almeida,2.0,0.2,4.3,2.08
2018,671,902,Almeida,3.0,0.3,3.6,1.46
2018,671,902,Almeida,4.0,0.6,2.6,1.66
2018,671,902,Almeida,5.0,0.7,10.3,3.61
2018,671,902,Almeida,6.0,0.7,6.8,2.91
2018,671,902,Almeida,7.0,0.3,8.9,3.08
2018,671,902,Almeida,8.0,0.1,1.6,0.68
2018,683,907,Guarda,1.0,0.6,3.0,2.24
2018,683,907,Guarda,2.0,0.5,3.6,1.55
2018,683,907,Guarda,3.0,0.8,7.5,3.38
2018,683,907,Guarda,4.0,0.4,6.2,2.29
2018,683,907,Guarda,5.0,0.7,8.0,3.34
2018,683,907,Guarda,6.0,0.3,3.4,2.02
2018,683,907,Guarda,7.0,0.4,12.1,3.94
2018,683,907,Guarda,8.0,1.0,4.6,3.09
2018,568,908,Manteigas,1.0,1.2,3.8,2.68
2018,568,908,Manteigas,2.0,0.5,1.2,0.86
2018,568,908,Manteigas,3.0,0.6,5.0,2.63
2018,568,908,Manteigas,4.0,0.6,7.8,3.26
2018,568,908,Manteigas,5.0,0.9,8.3,2.45
2018,568,908,Manteigas,6.0,0.7,5.3,2.57
2018,568,908,Manteigas,7.0,0.9,9.3,5.0
2018,568,908,Manteigas,8.0,0.7,5.4,2.86
2018,800,911,Sabugal,1.0,0.1,2.7,0.97
2018,800,911,Sabugal,2.0,0.3,6.9,2.61
2018,800,911,Sabugal,3.0,0.5,4.4,1.78
2018,800,911,Sabugal,4.0,0.6,5.4,2.19
2018,800,911,Sabugal,5.0,1.0,8.2,3.34
2018,800,911,Sabugal,6.0,0.6,4.5,2.5
2018,800,911,Sabugal,7.0,0.3,7.0,2.68
2018,800,911,Sabugal,8.0,0.2,4.5,1.68
2018,666,913,Trancoso,1.0,1.0,5.6,3.72
2018,666,913,Trancoso,2.0,1.7,6.2,3.61
2018,666,913,Trancoso,3.0,0.9,5.0,3.0
2018,666,913,Trancoso,4.0,0.9,9.3,3.92
2018,666,913,Trancoso,5.0,0.6,7.2,3.37
2018,666,913,Trancoso,6.0,0.3,8.8,4.09
2018,666,913,Trancoso,7.0,0.3,8.4,2.01
2018,666,913,Trancoso,8.0,0.4,0.4,0.4
2018,726,1001,Alcobaça,1.0,0.0,2.4,0.2
2018,726,1001,Alcobaça,2.0,0.1,3.1,0.66
2018,726,1001,Alcobaça,3.0,0.2,3.0,0.66
2018,726,1001,Alcobaça,4.0,0.3,4.8,1.84
2018,726,1001,Alcobaça,5.0,1.1,4.6,2.83
2018,726,1001,Alcobaça,6.0,0.7,3.9,1.98
2018,726,1001,Alcobaça,7.0,0.2,5.0,1.6
2018,726,1001,Alcobaça,8.0,0.1,2.5,0.35
2018,716,1003,Ansião,1.0,0.1,3.2,1.88
2018,716,1003,Ansião,2.0,0.2,2.8,2.2
2018,716,1003,Ansião,3.0,0.7,3.9,2.71
2018,716,1003,Ansião,4.0,1.2,6.3,3.57
2018,716,1003,Ansião,5.0,1.0,5.8,2.13
2018,716,1003,Ansião,6.0,1.0,3.2,2.13
2018,716,1003,Ansião,7.0,0.5,6.4,2.51
2018,716,1003,Ansião,8.0,0.3,4.2,2.16
2018,718,1009,Leiria,1.0,0.5,3.5,1.96
2018,718,1009,Leiria,2.0,0.5,1.3,0.91
2018,718,1009,Leiria,3.0,0.5,5.3,1.87
2018,718,1009,Leiria,4.0,0.5,6.8,2.3
2018,718,1009,Leiria,5.0,0.5,7.8,1.87
2018,718,1009,Leiria,6.0,1.0,4.7,2.03
2018,718,1009,Leiria,7.0,0.6,4.1,2.04
2018,718,1009,Leiria,8.0,0.7,4.6,1.92
2018,721,1010,Marinha Grande,1.0,1.2,5.7,3.69
2018,721,1010,Marinha Grande,2.0,1.2,4.2,2.79
2018,721,1010,Marinha Grande,3.0,0.6,6.5,3.62
2018,721,1010,Marinha Grande,4.0,0.7,8.3,3.54
2018,721,1010,Marinha Grande,5.0,0.6,8.1,2.8
2018,721,1010,Marinha Grande,6.0,1.7,6.8,3.76
2018,721,1010,Marinha Grande,7.0,1.2,8.3,4.57
2018,721,1010,Marinha Grande,8.0,0.8,3.4,1.83
2018,579,1106,Lisboa,1.0,0.5,3.3,1.84
2018,579,1106,Lisboa,2.0,0.0,5.6,3.18
2018,579,1106,Lisboa,3.0,0.2,4.4,1.7
2018,579,1106,Lisboa,4.0,0.4,1.7,0.83
2018,579,1106,Lisboa,5.0,0.2,6.3,2.65
2018,579,1106,Lisboa,6.0,0.0,7.5,2.78
2018,579,1106,Lisboa,7.0,0.0,6.2,2.02
2018,579,1106,Lisboa,8.0,0.1,5.1,2.3
2018,750,1111,Sintra,1.0,0.6,8.9,3.68
2018,750,1111,Sintra,2.0,0.4,9.3,3.14
2018,750,1111,Sintra,3.0,0.8,11.3,5.67
2018,750,1111,Sintra,4.0,1.0,16.6,7.49
2018,750,1111,Sintra,5.0,1.8,16.0,5.52
2018,750,1111,Sintra,6.0,1.0,1.9,1.33
2018,750,1111,Sintra,7.0,0.9,5.9,3.47
2018,750,1111,Sintra,8.0,0.9,6.7,2.72
2018,746,1113,Torres Vedras,1.0,0.0,5.8,1.7
2018,739,1113,Torres Vedras,2.0,0.1,4.0,1.61
2018,746,1113,Torres Vedras,3.0,0.3,6.0,3.04
2018,746,1113,Torres Vedras,4.0,0.6,5.9,3.1
2018,746,1113,Torres Vedras,5.0,0.5,9.9,3.04
2018,746,1113,Torres Vedras,6.0,0.3,4.3,2.35
2018,739,1113,Torres Vedras,7.0,0.3,6.1,3.03
2018,746,1113,Torres Vedras,8.0,0.1,5.7,2.3
2018,824,1203,Avis,1.0,0.0,1.9,0.53
2018,824,1203,Avis,2.0,0.1,3.5,1.17
2018,824,1203,Avis,3.0,0.3,4.6,1.78
2018,824,1203,Avis,4.0,0.4,2.5,1.32
2018,824,1203,Avis,5.0,0.8,4.6,3.15
2018,824,1203,Avis,6.0,0.3,3.8,0.84
2018,824,1203,Avis,7.0,0.3,4.3,1.82
2018,824,1203,Avis,8.0,0.1,3.2,0.62
